,Y
36041,2650.0
1232,4000.0
14429,5000.0
6069,3550.0
14485,2000.0
8608,4100.0
41195,2990.0
18891,6400.0
34148,4550.0
34529,1660.0
10401,1890.0
39186,2090.0
4581,10000.0
18822,3300.0
2391,8000.0
14640,2890.0
31087,6200.0
35892,4800.0
19579,1590.0
41433,1460.0
12188,3800.0
17287,4700.0
14620,6500.0
34995,8333.0
22965,3400.0
19241,12500.0
38365,2300.0
36326,4660.0
25548,5000.0
9198,5400.0
36374,5200.0
7693,2100.0
29134,2800.0
34289,4600.0
26458,5700.0
26768,1090.0
28562,2200.0
15051,3400.0
41247,2490.0
15819,2800.0
35495,5300.0
7142,2400.0
34432,6200.0
32565,4500.0
9553,7900.0
3827,2300.0
13136,8000.0
35307,4400.0
14442,1690.0
31295,3000.0
16071,9500.0
11178,4000.0
30720,700.0
40688,2590.0
31104,2530.0
12247,3200.0
25397,5500.0
23676,3500.0
1357,3290.0
32480,900.0
15158,3000.0
15578,3200.0
20234,3000.0
17943,3490.0
38455,3100.0
3071,4700.0
22041,8000.0
8974,1400.0
18237,4400.0
10574,6500.0
2013,5300.0
32564,3800.0
3535,6500.0
17567,2600.0
23941,3000.0
28613,3500.0
25500,5500.0
9504,1750.0
14129,6360.0
14598,3300.0
17669,4500.0
12355,3360.0
18326,6000.0
32474,5500.0
8087,7500.0
13669,2590.0
37744,4800.0
26093,3200.0
31543,3100.0
23596,3100.0
41299,2090.0
10281,1700.0
38668,3500.0
11424,4200.0
6120,1500.0
11680,4800.0
3153,2400.0
508,1500.0
37289,5800.0
39932,1630.0
34900,1900.0
40457,1190.0
40522,2390.0
11290,3000.0
9374,2090.0
38714,4100.0
18960,5800.0
5310,3000.0
37171,4200.0
18527,4000.0
33624,3060.0
26986,4500.0
24350,1560.0
26120,5000.0
17544,2690.0
731,3600.0
11588,3300.0
19777,6600.0
41286,2160.0
4147,3400.0
20136,6300.0
11080,3500.0
31577,7000.0
36307,5500.0
19724,3700.0
28896,2700.0
6444,5300.0
9565,1690.0
34819,4500.0
3338,4500.0
23332,3000.0
24142,3000.0
33541,4390.0
38470,4000.0
5361,5800.0
19249,4500.0
25924,3250.0
41333,1660.0
1882,6600.0
14741,3790.0
36549,4500.0
20666,4800.0
17327,2800.0
33773,4000.0
2571,4700.0
16306,1860.0
37304,6800.0
36477,4300.0
29925,2300.0
11869,2800.0
15389,13500.0
18416,6300.0
930,15500.0
38245,7300.0
4428,5300.0
21278,1790.0
5942,5100.0
25098,3300.0
35335,10000.0
36083,2600.0
14004,3200.0
31751,6000.0
17491,3400.0
21879,4500.0
8083,1830.0
3662,4800.0
8487,900.0
9124,3900.0
28655,2900.0
36951,2300.0
4864,3600.0
3094,4700.0
30954,11000.0
10217,9500.0
31232,14500.0
19201,2530.0
40976,1630.0
5476,7200.0
14385,3500.0
23806,4000.0
22397,3100.0
5674,1200.0
39532,1730.0
26919,2900.0
9197,4800.0
40958,2160.0
39941,1590.0
37223,3000.0
1720,2300.0
33943,3500.0
20657,5200.0
40271,1990.0
18850,2730.0
37233,3400.0
22304,22200.0
34043,4500.0
988,1900.0
38474,13500.0
37871,9500.0
3594,4500.0
26948,5800.0
10108,5000.0
137,4500.0
11001,3500.0
14326,3500.0
6309,3300.0
14745,3000.0
26848,3200.0
5646,13000.0
2801,7650.0
33397,4200.0
31065,3500.0
40625,1890.0
14321,3300.0
11927,4200.0
24565,1690.0
20160,3800.0
11271,3000.0
30218,7500.0
18654,3000.0
35243,9100.0
13410,4300.0
17997,6900.0
26403,5200.0
7743,4000.0
5695,6000.0
30155,4600.0
2217,5200.0
26294,8000.0
4503,5000.0
7242,8800.0
20778,3000.0
9092,3390.0
27546,3000.0
15886,3500.0
21221,5500.0
8305,2000.0
27582,3500.0
21745,7600.0
8500,4300.0
36673,4300.0
40811,2030.0
754,4500.0
39433,2500.0
1413,2500.0
32367,5500.0
26422,4700.0
40380,1430.0
21215,1660.0
35611,6000.0
39958,3230.0
3030,4000.0
36121,1890.0
11811,3690.0
28062,8200.0
29841,1800.0
21643,4100.0
38267,4400.0
8691,2400.0
5549,2000.0
14023,2600.0
9781,3400.0
32318,3600.0
29700,800.0
23135,10000.0
31561,5800.0
5103,4500.0
21216,4390.0
37256,5100.0
7141,5000.0
19589,11000.0
27672,9500.0
35536,4660.0
39366,2800.0
40217,3200.0
1591,5000.0
6219,4200.0
20277,2900.0
37754,4500.0
60,3000.0
3744,4500.0
20500,3500.0
7946,2500.0
38063,2190.0
8804,2200.0
34396,3600.0
21395,4300.0
10195,2190.0
17466,3300.0
18374,5700.0
36552,5200.0
25587,4300.0
6408,3000.0
4757,3400.0
4212,1600.0
20344,7800.0
47,7500.0
2009,4800.0
14659,2800.0
38712,4000.0
6779,16800.0
3956,8300.0
11156,3600.0
37179,1730.0
10028,4800.0
9619,5500.0
16350,6800.0
4943,4800.0
33646,3800.0
23198,1390.0
37107,3900.0
8245,3800.0
6086,2800.0
3580,3800.0
40825,2560.0
1073,4500.0
25316,5500.0
20549,3900.0
4742,11000.0
17361,5600.0
1474,27000.0
25930,5400.0
36812,3000.0
31474,3200.0
15196,3300.0
24297,3600.0
22033,5500.0
33224,4300.0
22149,1930.0
23614,1800.0
38902,2390.0
9237,5200.0
18862,2600.0
38999,2700.0
16034,1700.0
36713,4290.0
25423,4000.0
15540,2690.0
10240,2900.0
33411,9900.0
18868,32000.0
39252,4500.0
27597,3300.0
29148,3900.0
19473,19000.0
27163,4000.0
1654,6700.0
30079,3900.0
10320,3030.0
38624,1800.0
9524,2700.0
34011,2690.0
26641,9000.0
11862,3100.0
37854,5000.0
20394,3700.0
31281,4000.0
18670,8600.0
32881,3500.0
18253,3000.0
22746,4600.0
10802,1200.0
30797,3400.0
35529,8500.0
11457,4800.0
6742,6000.0
8226,6100.0
33491,3500.0
2697,15500.0
16274,3100.0
32520,1990.0
4390,6000.0
10718,3500.0
27896,2900.0
25595,70000.0
16832,4300.0
29958,2000.0
35956,4500.0
27207,3300.0
39694,2690.0
25286,900.0
39098,7470.0
40192,2530.0
17672,3800.0
22460,3600.0
11373,1490.0
4311,12000.0
15567,3900.0
21124,1800.0
16401,7300.0
36358,5000.0
12420,4000.0
38823,5500.0
7846,1900.0
24396,5000.0
37395,5360.0
11053,13000.0
5818,4600.0
280,1300.0
2498,8000.0
30690,3700.0
30120,7200.0
33514,4500.0
14024,5000.0
17478,3800.0
30644,5800.0
40857,3800.0
40600,1390.0
28950,88600.0
15506,2990.0
18632,4800.0
39283,1890.0
33997,3000.0
24598,3800.0
27121,4000.0
28168,1400.0
9166,2290.0
37129,3300.0
23707,4500.0
7781,6300.0
9288,1900.0
17632,3400.0
26629,6000.0
21017,15000.0
40397,5000.0
2600,3500.0
17504,4800.0
983,4200.0
28681,3900.0
37361,3000.0
37764,6300.0
28738,2500.0
12738,3800.0
36485,1500.0
13855,4100.0
8429,2800.0
7680,3400.0
12415,5300.0
3355,3200.0
20867,2160.0
7618,3800.0
14486,2800.0
26200,4100.0
38031,2200.0
18580,4300.0
33391,3500.0
27596,3000.0
26164,2800.0
22804,3750.0
10874,2500.0
23733,4400.0
23369,8000.0
14256,3500.0
16610,3200.0
7207,1600.0
18730,3100.0
25685,6400.0
23074,18000.0
3685,3000.0
5983,2500.0
41200,1590.0
24337,5000.0
26124,1630.0
13743,3190.0
40861,2090.0
36699,6300.0
10477,10700.0
26226,8000.0
8664,1650.0
26053,2500.0
8369,5300.0
16745,2300.0
25223,4800.0
17042,4850.0
33601,6500.0
12843,4400.0
29772,4300.0
36535,24000.0
25012,1390.0
6034,6500.0
26100,3600.0
15449,6600.0
3568,5500.0
24358,6000.0
